
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.003553105236718188
fun_coils#20 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=7.4e-07, J_MSC=1.7e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 11.7, 7.9, 8.4], mean squared curvature=[8.3, 5.5, 5.0, 7.8, 9.6, 10.6]
fun_coils#21 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.24 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-07, J_MSC=1.3e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 11.2, 7.8, 7.3], mean squared curvature=[8.3, 5.5, 5.0, 8.0, 9.7, 10.5]
fun_coils#22 - J=3.3e-03, Jf=3.3e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.24 Jf=3.3e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=7.6e-08, J_MSC=3.4e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 10.6, 7.5, 8.8], mean squared curvature=[8.3, 5.5, 5.1, 9.0, 9.9, 10.8]
fun_coils#23 - J=3.3e-03, Jf=3.3e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.24 Jf=3.3e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.4e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 9.2, 7.4, 8.3], mean squared curvature=[8.3, 5.5, 5.1, 9.0, 9.9, 10.7]
fun_coils#24 - J=3.3e-03, Jf=3.3e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.24 Jf=3.3e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.2])=19.0, curvature=[4.8, 3.5, 3.3, 9.3, 7.4, 6.9], mean squared curvature=[8.3, 5.5, 5.1, 9.0, 10.0, 10.6]
fun_coils#25 - J=3.3e-03, Jf=3.3e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.24 Jf=3.3e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.4e-05, J_ALS=5.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 9.9, 7.5, 7.3], mean squared curvature=[8.4, 5.5, 5.1, 9.3, 10.1, 10.7]
fun_coils#26 - J=3.3e-03, Jf=3.2e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.24 Jf=3.2e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-08, J_MSC=1.6e-05, J_ALS=5.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 10.2, 7.4, 7.5], mean squared curvature=[8.4, 5.5, 5.1, 9.5, 10.0, 10.6]
fun_coils#27 - J=3.3e-03, Jf=3.2e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.24 Jf=3.2e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=2.2e-06, J_MSC=5.6e-05, J_ALS=5.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 11.8, 8.5, 7.5], mean squared curvature=[8.4, 5.5, 5.1, 10.8, 10.4, 10.7]
fun_coils#28 - J=3.2e-03, Jf=3.2e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.24 Jf=3.2e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.5e-05, J_ALS=5.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 10.8, 7.8, 7.5], mean squared curvature=[8.4, 5.5, 5.1, 10.0, 10.1, 10.5]
fun_coils#29 - J=3.5e-03, Jf=3.1e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.23 Jf=3.1e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-05, J_MSC=3.2e-04, J_ALS=5.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.1, curvature=[4.9, 3.5, 3.3, 13.4, 8.1, 7.5], mean squared curvature=[8.4, 5.5, 5.2, 12.4, 10.1, 10.8]
