
Aspect ratio at max_mode 3: 6.000164613385855
Mean iota at 3: 0.41999630252553016
Quasisymmetry objective at max_mode 3: 0.0002308731908214546
Squared flux at max_mode 3: 0.009807367661565593
fun_coils#8 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=3.0e-04, J_MSC=3.8e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.0, 5.0])=10.1, curvature=[8.8, 19.2], mean squared curvature=[6.3, 7.4]
fun_coils#9 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.2e-08, J_CURVATURE=2.1e-04, J_MSC=2.6e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.0, 5.0])=10.1, curvature=[7.7, 16.0], mean squared curvature=[6.2, 6.9]
fun_coils#10 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=1.6e-04, J_MSC=1.7e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.0, 5.0])=10.1, curvature=[5.9, 20.7], mean squared curvature=[6.1, 6.5]
fun_coils#11 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=7.9e-05, J_MSC=1.0e-04, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.0, 5.0])=10.1, curvature=[5.8, 10.8], mean squared curvature=[6.0, 6.0]
fun_coils#12 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.0e-08, J_CURVATURE=6.6e-05, J_MSC=9.4e-05, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.0, 5.0])=10.1, curvature=[5.8, 10.1], mean squared curvature=[6.0, 6.0]
fun_coils#13 - J=1.8e-02, Jf=6.7e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.7e-03, J_length=1.0e-06, J_CC=7.4e-08, J_CURVATURE=5.4e-05, J_MSC=9.7e-05, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.0, 5.0])=10.1, curvature=[5.8, 9.5], mean squared curvature=[5.9, 6.1]
fun_coils#14 - J=1.7e-02, Jf=6.7e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.09 Jf=6.7e-03, J_length=1.0e-06, J_CC=5.4e-08, J_CURVATURE=4.1e-05, J_MSC=9.8e-05, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.0e-02 Coil lengths=sum([5.0, 5.0])=10.0, curvature=[6.4, 8.9], mean squared curvature=[5.8, 6.2]
fun_coils#15 - J=1.7e-02, Jf=6.5e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.10 Jf=6.5e-03, J_length=1.0e-06, J_CC=1.5e-08, J_CURVATURE=3.4e-05, J_MSC=1.5e-04, J_ALS=1.4e-07, J_LENGTH_PENALTY=9.9e-03 Coil lengths=sum([5.0, 5.0])=10.0, curvature=[7.1, 8.2], mean squared curvature=[5.7, 6.6]
fun_coils#16 - J=1.6e-02, Jf=6.5e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.10 Jf=6.5e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=1.0e-04, J_MSC=3.9e-04, J_ALS=1.4e-07, J_LENGTH_PENALTY=8.8e-03 Coil lengths=sum([4.9, 4.9])=9.9, curvature=[6.8, 9.9], mean squared curvature=[5.9, 7.7]
fun_coils#17 - J=1.5e-02, Jf=6.5e-03, ⟨B·n⟩=7.7e-03, C-C-Sep=0.11 Jf=6.5e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=1.5e-04, J_MSC=1.9e-04, J_ALS=1.4e-07, J_LENGTH_PENALTY=8.1e-03 Coil lengths=sum([4.9, 4.9])=9.8, curvature=[14.6, 8.4], mean squared curvature=[6.4, 6.4]
