
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06415397191789753
fun_coils#20 - J=7.7e-04, Jf=5.1e-04, ⟨B·n⟩=2.7e-03, C-C-Sep=0.12 Jf=5.1e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-06, J_MSC=3.6e-05, J_ALS=2.9e-07, J_LENGTH_PENALTY=2.2e-04 Coil lengths=sum([4.1, 4.1, 4.1, 4.1])=16.4, curvature=[5.1, 5.6, 5.2, 5.7], mean squared curvature=[5.1, 5.6, 5.2, 5.6]
fun_coils#21 - J=5.5e-04, Jf=3.5e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.12 Jf=3.5e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=7.4e-06, J_MSC=9.0e-05, J_ALS=2.8e-07, J_LENGTH_PENALTY=1.0e-04 Coil lengths=sum([4.1, 4.1, 4.1, 4.1])=16.3, curvature=[5.8, 6.5, 4.9, 6.2], mean squared curvature=[5.6, 5.7, 5.4, 5.9]
fun_coils#22 - J=3.8e-04, Jf=2.9e-04, ⟨B·n⟩=2.0e-03, C-C-Sep=0.12 Jf=2.9e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=4.1e-07, J_MSC=5.7e-05, J_ALS=2.7e-07, J_LENGTH_PENALTY=3.7e-05 Coil lengths=sum([4.0, 4.1, 4.0, 4.0])=16.2, curvature=[5.5, 5.0, 5.4, 4.8], mean squared curvature=[5.4, 5.7, 5.5, 5.5]
fun_coils#23 - J=3.1e-04, Jf=2.7e-04, ⟨B·n⟩=1.9e-03, C-C-Sep=0.12 Jf=2.7e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=9.5e-12, J_MSC=8.0e-06, J_ALS=2.7e-07, J_LENGTH_PENALTY=3.6e-05 Coil lengths=sum([4.0, 4.1, 4.0, 4.1])=16.2, curvature=[4.1, 4.0, 5.0, 5.0], mean squared curvature=[4.6, 4.8, 5.3, 5.3]
fun_coils#24 - J=2.8e-04, Jf=2.5e-04, ⟨B·n⟩=1.8e-03, C-C-Sep=0.12 Jf=2.5e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=2.0e-07, J_MSC=1.0e-05, J_ALS=2.7e-07, J_LENGTH_PENALTY=2.0e-05 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.1, curvature=[4.2, 4.4, 5.0, 5.3], mean squared curvature=[4.7, 5.0, 5.3, 5.3]
fun_coils#25 - J=3.9e-04, Jf=2.1e-04, ⟨B·n⟩=1.7e-03, C-C-Sep=0.12 Jf=2.1e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-05, J_MSC=1.6e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=1.5e-06 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.6, 5.5, 5.1, 7.3], mean squared curvature=[4.9, 6.1, 5.1, 6.4]
fun_coils#26 - J=2.3e-04, Jf=2.1e-04, ⟨B·n⟩=1.7e-03, C-C-Sep=0.12 Jf=2.1e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.1e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=7.7e-06 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.1, curvature=[4.4, 4.8, 5.0, 5.0], mean squared curvature=[4.8, 5.3, 5.1, 5.3]
fun_coils#27 - J=2.1e-04, Jf=2.0e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.12 Jf=2.0e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=5.7e-07, J_MSC=7.7e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=3.6e-06 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.8, 4.3, 5.0, 5.5], mean squared curvature=[4.9, 4.8, 5.1, 5.4]
fun_coils#28 - J=2.0e-04, Jf=1.9e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.12 Jf=1.9e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=3.1e-07, J_MSC=3.3e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=1.9e-06 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[5.6, 4.4, 5.1, 4.8], mean squared curvature=[5.0, 4.9, 5.1, 5.2]
fun_coils#29 - J=1.9e-04, Jf=1.9e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.13 Jf=1.9e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-08, J_MSC=2.0e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=9.8e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.9, 4.7, 5.1, 4.7], mean squared curvature=[5.0, 5.0, 5.0, 5.2]
