
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06415397191789753
fun_coils#17 - J=4.2e-04, Jf=3.6e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.11 Jf=3.6e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-05, J_MSC=4.5e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[9.5, 5.8, 6.0, 5.3], mean squared curvature=[5.6, 5.5, 5.4, 5.3]
fun_coils#18 - J=3.8e-04, Jf=3.4e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.11 Jf=3.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.6e-06, J_MSC=4.0e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[3.9, 6.5, 5.6, 5.3], mean squared curvature=[4.7, 5.8, 5.2, 5.3]
fun_coils#19 - J=3.6e-04, Jf=3.5e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.11 Jf=3.5e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=6.2e-08, J_MSC=2.1e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[3.9, 3.8, 5.0, 5.2], mean squared curvature=[4.6, 4.9, 5.1, 5.2]
fun_coils#20 - J=3.3e-04, Jf=3.2e-04, ⟨B·n⟩=2.1e-03, C-C-Sep=0.11 Jf=3.2e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.5e-07, J_MSC=6.1e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[3.8, 3.9, 5.4, 5.2], mean squared curvature=[4.6, 5.0, 5.2, 5.3]
fun_coils#21 - J=3.6e-04, Jf=3.1e-04, ⟨B·n⟩=2.1e-03, C-C-Sep=0.10 Jf=3.1e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-08, J_MSC=4.9e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[3.9, 4.5, 4.8, 5.1], mean squared curvature=[4.8, 5.6, 5.7, 5.2]
fun_coils#22 - J=3.0e-04, Jf=3.0e-04, ⟨B·n⟩=2.0e-03, C-C-Sep=0.11 Jf=3.0e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-08, J_MSC=4.7e-06, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[3.8, 4.1, 4.9, 5.1], mean squared curvature=[4.7, 5.2, 5.1, 5.2]
fun_coils#23 - J=2.8e-04, Jf=2.8e-04, ⟨B·n⟩=2.0e-03, C-C-Sep=0.11 Jf=2.8e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-08, J_MSC=4.1e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[3.9, 4.0, 5.0, 5.1], mean squared curvature=[4.7, 4.9, 5.3, 5.1]
fun_coils#24 - J=2.6e-04, Jf=2.6e-04, ⟨B·n⟩=1.9e-03, C-C-Sep=0.11 Jf=2.6e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.6e-08, J_MSC=7.8e-07, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.6, 4.3, 5.0, 5.1], mean squared curvature=[4.8, 4.9, 5.1, 5.1]
fun_coils#25 - J=2.4e-04, Jf=2.4e-04, ⟨B·n⟩=1.8e-03, C-C-Sep=0.11 Jf=2.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-07, J_MSC=2.0e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.4, 5.0, 5.0, 5.2], mean squared curvature=[4.8, 5.1, 5.1, 5.1]
fun_coils#26 - J=2.6e-04, Jf=1.8e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.11 Jf=1.8e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=8.0e-05, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.3, 6.1, 5.3, 5.2], mean squared curvature=[4.9, 5.6, 6.0, 5.5]
fun_coils#27 - J=2.1e-04, Jf=2.0e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.11 Jf=2.0e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=9.3e-08, J_MSC=8.7e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.2, 5.1, 5.0, 5.2], mean squared curvature=[4.8, 5.2, 5.3, 5.3]
fun_coils#28 - J=1.9e-04, Jf=1.7e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.11 Jf=1.7e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.0e-08, J_MSC=2.1e-05, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[5.1, 4.7, 5.0, 5.1], mean squared curvature=[4.9, 5.1, 5.6, 5.3]
fun_coils#29 - J=1.8e-04, Jf=1.7e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.11 Jf=1.7e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=2.5e-08, J_MSC=1.8e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.7, 4.4, 4.7, 5.1], mean squared curvature=[4.9, 4.9, 4.9, 5.2]
fun_coils#30 - J=1.7e-04, Jf=1.7e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.11 Jf=1.7e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-08, J_MSC=2.0e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.9, 4.3, 4.7, 5.1], mean squared curvature=[4.9, 5.0, 5.0, 5.2]
fun_coils#31 - J=3.7e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.11 Jf=1.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=2.5e-05, J_MSC=2.0e-04, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[7.5, 9.6, 5.0, 4.8], mean squared curvature=[5.6, 6.6, 6.1, 5.4]
fun_coils#32 - J=1.5e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.11 Jf=1.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-07, J_MSC=3.9e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[5.6, 5.4, 4.8, 5.0], mean squared curvature=[5.0, 5.2, 5.1, 5.1]
fun_coils#33 - J=1.3e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.11 Jf=1.2e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.4e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[4.4, 4.4, 5.0, 4.9], mean squared curvature=[5.1, 5.1, 5.3, 5.1]
fun_coils#34 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.11 Jf=1.2e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.4e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[4.1, 4.6, 5.0, 4.9], mean squared curvature=[5.0, 5.0, 5.1, 5.2]
fun_coils#35 - J=1.1e-04, Jf=1.1e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.11 Jf=1.1e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=4.9e-09, J_MSC=1.3e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[4.0, 4.7, 5.1, 5.0], mean squared curvature=[5.0, 5.1, 5.1, 5.1]
fun_coils#36 - J=9.0e-05, Jf=8.8e-05, ⟨B·n⟩=1.1e-03, C-C-Sep=0.11 Jf=8.8e-05, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.1e-08, J_MSC=8.1e-07, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[3.8, 5.0, 5.1, 5.0], mean squared curvature=[5.1, 5.1, 5.0, 5.1]
fun_coils#37 - J=7.8e-05, Jf=7.6e-05, ⟨B·n⟩=1.0e-03, C-C-Sep=0.11 Jf=7.6e-05, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.6e-06, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.5, 4.5])=18.2, curvature=[4.5, 4.8, 4.7, 5.0], mean squared curvature=[5.1, 5.0, 5.1, 5.1]
