
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06451762722667326
fun_coils#26 - J=1.5e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.28 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.4e-08, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.0e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.2, 5.1], mean squared curvature=[3.2, 4.8]
fun_coils#27 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.27 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=7.0e-08, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.6, 5.2], mean squared curvature=[3.4, 4.9]
fun_coils#28 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.27 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.0e-07, J_MSC=1.1e-06, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.7, 5.3], mean squared curvature=[3.4, 5.1]
fun_coils#29 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.27 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.8e-08, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.1], mean squared curvature=[3.4, 5.0]
fun_coils#30 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.2e-08, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.1], mean squared curvature=[3.3, 5.0]
fun_coils#31 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=7.4e-12, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.7, 5.0], mean squared curvature=[3.3, 5.0]
fun_coils#32 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-08, J_MSC=1.6e-07, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.8, 5.1], mean squared curvature=[3.3, 5.1]
fun_coils#33 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.0e-09, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.7, 5.0], mean squared curvature=[3.3, 5.0]
fun_coils#34 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-08, J_MSC=7.7e-08, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.7, 5.1], mean squared curvature=[3.3, 5.0]
fun_coils#35 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=6.4e-08, J_MSC=8.7e-10, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.6, 5.2], mean squared curvature=[3.3, 5.0]
