
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06422646722819887
fun_coils#18 - J=1.2e+00, Jf=2.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-02, J_MSC=1.2e+00, J_ALS=2.6e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.1, curvature=[620.7, 6.7, 4.8], mean squared curvature=[159.0, 5.4, 4.6]
fun_coils#19 - J=4.5e-03, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=8.0e-05, J_MSC=5.1e-05, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.4e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.2, curvature=[15.8, 6.6, 4.6], mean squared curvature=[6.0, 5.2, 4.5]
fun_coils#20 - J=4.5e-03, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-05, J_MSC=6.0e-07, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.5e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.2, curvature=[7.6, 6.7, 4.6], mean squared curvature=[5.0, 5.1, 4.6]
fun_coils#21 - J=1.3e-02, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=2.0e-03, J_MSC=7.1e-03, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.1, curvature=[90.0, 6.3, 4.8], mean squared curvature=[16.9, 5.1, 4.6]
fun_coils#22 - J=4.4e-03, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=3.1e-05, J_MSC=9.1e-06, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.4e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.2, curvature=[10.5, 6.5, 4.6], mean squared curvature=[5.4, 5.1, 4.6]
fun_coils#23 - J=7.6e-03, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-03, J_MSC=2.3e-03, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.1, curvature=[94.3, 6.3, 4.8], mean squared curvature=[11.8, 5.0, 4.7]
fun_coils#24 - J=4.3e-03, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=4.8e-05, J_MSC=1.8e-05, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.3e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.2, curvature=[11.9, 6.4, 4.7], mean squared curvature=[5.6, 5.0, 4.6]
fun_coils#25 - J=4.3e-03, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-05, J_MSC=1.4e-05, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.2e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.2, curvature=[14.0, 5.9, 4.7], mean squared curvature=[5.5, 4.9, 4.6]
fun_coils#26 - J=4.1e-03, Jf=1.9e-03, ⟨B·n⟩=4.0e-03, C-C-Sep=0.16 Jf=1.9e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=4.9e-05, J_MSC=7.6e-06, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.1, curvature=[18.6, 4.8, 4.7], mean squared curvature=[5.4, 4.5, 4.6]
fun_coils#27 - J=3.9e-03, Jf=1.9e-03, ⟨B·n⟩=4.0e-03, C-C-Sep=0.16 Jf=1.9e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=8.0e-06, J_MSC=0.0e+00, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.1e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.1, curvature=[8.6, 4.7, 4.6], mean squared curvature=[4.7, 4.3, 4.5]
