
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.001018332930600819
fun_coils#18 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.1e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.7, 7.7, 6.8, 6.9], mean squared curvature=[12.6, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 11.0]
fun_coils#19 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.7, 7.2, 6.8, 6.0], mean squared curvature=[12.4, 7.8, 5.9, 5.8, 9.5, 9.6, 10.6, 10.9]
fun_coils#20 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.9e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.7, 7.2, 6.5, 5.7], mean squared curvature=[12.3, 7.8, 5.9, 5.8, 9.5, 9.6, 10.3, 10.7]
fun_coils#21 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.5e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.7, 7.2, 6.5, 5.7], mean squared curvature=[12.1, 7.8, 5.9, 5.8, 9.5, 9.7, 10.2, 10.7]
fun_coils#22 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.7, 5.3, 3.6, 4.4, 6.7, 8.0, 6.6, 8.8], mean squared curvature=[11.7, 7.8, 5.9, 5.8, 9.5, 9.9, 10.3, 11.3]
fun_coils#23 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.2e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.9, 5.3, 3.6, 4.4, 6.7, 7.4, 6.5, 5.7], mean squared curvature=[11.9, 7.8, 5.9, 5.8, 9.5, 9.8, 10.2, 10.8]
fun_coils#24 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.6, 5.3, 3.6, 4.4, 6.7, 8.1, 6.5, 5.7], mean squared curvature=[11.7, 7.8, 5.9, 5.8, 9.5, 10.0, 10.3, 10.8]
fun_coils#25 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.3, 5.3, 3.6, 4.4, 6.7, 8.6, 6.4, 5.9], mean squared curvature=[11.5, 7.8, 5.9, 5.8, 9.5, 10.0, 10.3, 10.7]
fun_coils#26 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.9, 5.3, 3.6, 4.4, 6.7, 8.1, 6.8, 6.5], mean squared curvature=[11.2, 7.8, 5.9, 5.8, 9.5, 9.8, 10.2, 10.9]
fun_coils#27 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.2e-05, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.8, 5.3, 3.6, 4.4, 6.7, 8.1, 7.2, 6.3], mean squared curvature=[11.1, 7.8, 5.9, 5.8, 9.5, 9.8, 10.2, 10.4]
