
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06422646722819887
fun_coils#18 - J=4.7e-04, Jf=4.6e-04, ⟨B·n⟩=1.8e-03, C-C-Sep=0.12 Jf=4.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=6.3e-07, J_MSC=7.8e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[5.9, 4.8, 5.0], mean squared curvature=[5.2, 5.3, 5.2]
fun_coils#19 - J=4.3e-04, Jf=4.2e-04, ⟨B·n⟩=1.8e-03, C-C-Sep=0.12 Jf=4.2e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-07, J_MSC=1.3e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.9, 4.4, 5.3], mean squared curvature=[4.9, 5.2, 5.5]
fun_coils#20 - J=3.9e-04, Jf=3.9e-04, ⟨B·n⟩=1.7e-03, C-C-Sep=0.12 Jf=3.9e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-07, J_MSC=7.7e-07, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.4, 4.2, 5.2], mean squared curvature=[4.7, 4.8, 5.1]
fun_coils#21 - J=3.6e-04, Jf=3.6e-04, ⟨B·n⟩=1.6e-03, C-C-Sep=0.12 Jf=3.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=5.3e-08, J_MSC=8.1e-07, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.2, 4.1, 5.2], mean squared curvature=[4.7, 4.8, 5.1]
fun_coils#22 - J=3.2e-04, Jf=3.1e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.12 Jf=3.1e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.8e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.1, 4.7, 5.0], mean squared curvature=[4.8, 5.1, 5.3]
fun_coils#23 - J=2.9e-04, Jf=2.8e-04, ⟨B·n⟩=1.4e-03, C-C-Sep=0.12 Jf=2.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.7, 4.9, 4.8], mean squared curvature=[5.0, 5.5, 5.2]
fun_coils#24 - J=2.7e-04, Jf=2.6e-04, ⟨B·n⟩=1.4e-03, C-C-Sep=0.12 Jf=2.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-05, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.3, curvature=[4.8, 4.5, 5.0], mean squared curvature=[5.0, 5.0, 5.5]
fun_coils#25 - J=2.5e-04, Jf=2.5e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.3e-06, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.3, curvature=[4.6, 4.6, 4.9], mean squared curvature=[5.0, 4.9, 5.2]
fun_coils#26 - J=2.3e-04, Jf=2.3e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.3e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=8.4e-08, J_MSC=3.8e-06, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[5.1, 5.2, 4.9], mean squared curvature=[5.2, 5.1, 5.2]
fun_coils#27 - J=2.3e-04, Jf=2.2e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.2e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.6e-06, J_MSC=9.0e-06, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[3.6, 6.0, 4.9], mean squared curvature=[4.7, 5.3, 5.3]
