
Aspect ratio at max_mode 3: 7.0005969980925915
Mean iota at 3: -0.46675452068156176
Squared flux at max_mode 3: 0.00776731652366406
fun_coils#22 - J=5.6e-03, Jf=5.5e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.19 Jf=5.5e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.9e-05, J_ALS=4.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.9, curvature=[5.9, 7.2, 7.7], mean squared curvature=[10.3, 11.0, 10.4]
fun_coils#23 - J=5.5e-03, Jf=5.4e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.19 Jf=5.4e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.5e-05, J_ALS=4.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.9, curvature=[5.9, 7.1, 7.4], mean squared curvature=[10.3, 10.8, 10.4]
fun_coils#24 - J=5.4e-03, Jf=5.3e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.19 Jf=5.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=10.0, curvature=[6.8, 7.2, 7.6], mean squared curvature=[10.7, 11.1, 10.6]
fun_coils#25 - J=5.2e-03, Jf=5.1e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.19 Jf=5.1e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.3e-05, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.3, 3.4])=10.0, curvature=[6.9, 7.1, 7.0], mean squared curvature=[10.7, 11.0, 10.6]
fun_coils#26 - J=5.1e-03, Jf=5.0e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.18 Jf=5.0e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.0e-04, J_ALS=4.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.4])=10.1, curvature=[6.1, 6.8, 6.5], mean squared curvature=[10.7, 10.9, 10.8]
fun_coils#27 - J=4.9e-03, Jf=4.9e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.18 Jf=4.9e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.9e-05, J_ALS=4.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.4])=10.1, curvature=[6.1, 6.8, 6.5], mean squared curvature=[10.6, 10.6, 10.4]
fun_coils#28 - J=4.8e-03, Jf=4.7e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.18 Jf=4.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.5])=10.2, curvature=[6.2, 7.0, 7.0], mean squared curvature=[11.0, 10.9, 10.6]
fun_coils#29 - J=4.7e-03, Jf=4.5e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.18 Jf=4.5e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.5e-06, J_MSC=2.0e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.5, 3.5])=10.3, curvature=[13.0, 7.8, 6.8], mean squared curvature=[11.8, 11.0, 10.2]
fun_coils#30 - J=4.7e-03, Jf=4.6e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.18 Jf=4.6e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.8e-05, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.5])=10.2, curvature=[8.2, 7.1, 6.8], mean squared curvature=[11.1, 10.8, 10.3]
fun_coils#31 - J=4.5e-03, Jf=4.5e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.18 Jf=4.5e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.7e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.5, 3.5])=10.3, curvature=[6.2, 7.0, 6.6], mean squared curvature=[10.9, 10.8, 10.1]
fun_coils#32 - J=4.5e-03, Jf=4.4e-03, ⟨B·n⟩=5.0e-03, C-C-Sep=0.17 Jf=4.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.1e-05, J_ALS=5.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.5, 3.5])=10.4, curvature=[6.2, 6.0, 6.4], mean squared curvature=[10.9, 10.6, 10.1]
fun_coils#33 - J=4.3e-03, Jf=4.3e-03, ⟨B·n⟩=5.0e-03, C-C-Sep=0.16 Jf=4.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.4e-05, J_ALS=5.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.5, 3.6])=10.4, curvature=[6.3, 6.3, 6.6], mean squared curvature=[10.7, 10.6, 10.5]
fun_coils#34 - J=4.3e-03, Jf=4.2e-03, ⟨B·n⟩=4.9e-03, C-C-Sep=0.16 Jf=4.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-05, J_MSC=1.1e-04, J_ALS=5.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.6])=10.5, curvature=[16.7, 6.3, 7.5], mean squared curvature=[11.1, 10.6, 10.8]
fun_coils#35 - J=4.3e-03, Jf=4.2e-03, ⟨B·n⟩=4.9e-03, C-C-Sep=0.16 Jf=4.2e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.7e-05, J_ALS=5.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.5, 3.6])=10.5, curvature=[6.5, 6.2, 6.4], mean squared curvature=[10.5, 10.5, 10.5]
fun_coils#36 - J=4.2e-03, Jf=4.1e-03, ⟨B·n⟩=4.9e-03, C-C-Sep=0.16 Jf=4.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.4e-05, J_ALS=5.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.6])=10.5, curvature=[6.6, 6.2, 7.2], mean squared curvature=[10.4, 10.4, 10.4]
fun_coils#37 - J=4.0e-03, Jf=3.9e-03, ⟨B·n⟩=4.8e-03, C-C-Sep=0.15 Jf=3.9e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.7e-05, J_ALS=5.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.6])=10.6, curvature=[9.9, 6.4, 10.0], mean squared curvature=[10.8, 10.8, 10.7]
fun_coils#38 - J=3.9e-03, Jf=3.8e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.15 Jf=3.8e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-08, J_MSC=7.4e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.6])=10.6, curvature=[10.3, 7.2, 8.6], mean squared curvature=[10.5, 11.1, 10.2]
fun_coils#39 - J=3.8e-03, Jf=3.7e-03, ⟨B·n⟩=4.6e-03, C-C-Sep=0.14 Jf=3.7e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.7])=10.7, curvature=[6.9, 6.7, 6.7], mean squared curvature=[10.1, 10.5, 9.9]
fun_coils#40 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.13 Jf=3.6e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.4e-05, J_ALS=5.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.7, 3.7])=10.9, curvature=[7.9, 7.0, 9.5], mean squared curvature=[10.5, 11.0, 10.4]
fun_coils#41 - J=3.5e-03, Jf=3.4e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.11 Jf=3.4e-03, J_length=1.1e-06, J_CC=8.0e-08, J_CURVATURE=0.0e+00, J_MSC=3.5e-05, J_ALS=6.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.8, 3.8])=11.0, curvature=[8.0, 7.1, 9.1], mean squared curvature=[10.5, 10.7, 10.1]
fun_coils#42 - J=3.4e-03, Jf=3.3e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.10 Jf=3.3e-03, J_length=1.1e-06, J_CC=6.7e-07, J_CURVATURE=0.0e+00, J_MSC=2.0e-05, J_ALS=6.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.8, 3.8])=11.2, curvature=[7.5, 6.8, 9.9], mean squared curvature=[10.4, 10.3, 10.4]
fun_coils#43 - J=3.2e-03, Jf=3.2e-03, ⟨B·n⟩=4.3e-03, C-C-Sep=0.09 Jf=3.2e-03, J_length=1.1e-06, J_CC=3.0e-06, J_CURVATURE=0.0e+00, J_MSC=8.4e-06, J_ALS=6.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.9, 3.9])=11.3, curvature=[8.3, 7.1, 7.0], mean squared curvature=[10.2, 10.1, 10.3]
fun_coils#44 - J=3.1e-03, Jf=2.9e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.08 Jf=2.9e-03, J_length=1.2e-06, J_CC=9.3e-06, J_CURVATURE=2.5e-05, J_MSC=1.2e-04, J_ALS=7.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.9, 4.0])=11.5, curvature=[18.9, 7.7, 9.7], mean squared curvature=[11.1, 11.0, 10.4]
