
fun_coils#18 - J=3.2e-04, Jf=1.1e-04, ⟨B·n⟩=2.3e-03, C-C-Sep=0.13 Jf=1.1e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.0e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.6, curvature=[3.8, 4.1, 4.4, 4.6], mean squared curvature=[5.9, 6.0, 6.1, 6.0]
fun_coils#19 - J=2.8e-04, Jf=1.3e-04, ⟨B·n⟩=2.5e-03, C-C-Sep=0.13 Jf=1.3e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.5e-04, J_ALS=2.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.5, curvature=[3.8, 4.1, 4.3, 4.4], mean squared curvature=[5.8, 5.8, 5.9, 5.9]
fun_coils#20 - J=2.7e-04, Jf=1.2e-04, ⟨B·n⟩=2.4e-03, C-C-Sep=0.13 Jf=1.2e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.5e-04, J_ALS=2.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.5, curvature=[3.8, 4.0, 4.3, 4.4], mean squared curvature=[5.8, 5.9, 5.9, 5.9]
fun_coils#21 - J=2.6e-04, Jf=1.1e-04, ⟨B·n⟩=2.3e-03, C-C-Sep=0.13 Jf=1.1e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.5e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.6, curvature=[3.8, 4.0, 4.3, 4.4], mean squared curvature=[5.8, 5.9, 5.9, 5.8]
fun_coils#22 - J=2.6e-04, Jf=1.1e-04, ⟨B·n⟩=2.3e-03, C-C-Sep=0.13 Jf=1.1e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.5e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.6, curvature=[3.7, 4.0, 4.3, 4.4], mean squared curvature=[5.8, 5.9, 5.9, 5.8]
fun_coils#23 - J=2.5e-04, Jf=1.1e-04, ⟨B·n⟩=2.3e-03, C-C-Sep=0.13 Jf=1.1e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.7])=14.6, curvature=[3.7, 4.0, 4.3, 4.4], mean squared curvature=[5.8, 5.9, 5.9, 5.8]
fun_coils#24 - J=2.4e-04, Jf=1.0e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.13 Jf=1.0e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.7, 3.7])=14.6, curvature=[3.6, 4.0, 4.2, 4.4], mean squared curvature=[5.8, 5.8, 5.9, 5.8]
fun_coils#25 - J=2.4e-04, Jf=1.0e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.13 Jf=1.0e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.7, 3.7, 3.7])=14.6, curvature=[3.5, 4.0, 4.2, 4.4], mean squared curvature=[5.8, 5.8, 5.9, 5.8]
fun_coils#26 - J=2.3e-04, Jf=1.0e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.13 Jf=1.0e-04, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.7, 3.7, 3.7])=14.6, curvature=[3.5, 4.0, 4.2, 4.4], mean squared curvature=[5.7, 5.8, 5.9, 5.8]
fun_coils#27 - J=2.3e-04, Jf=9.7e-05, ⟨B·n⟩=2.2e-03, C-C-Sep=0.13 Jf=9.7e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.6, curvature=[3.5, 4.0, 4.2, 4.4], mean squared curvature=[5.7, 5.8, 5.9, 5.8]
