
Aspect ratio at max_mode 3: 3.4999672887756104
Mean iota at 3: -0.22999971505212466
Quasisymmetry objective at max_mode 3: 5.3236988549950675e-05
Squared flux at max_mode 3: 0.033433560268673085
fun_coils#21 - J=1.3e-03, Jf=1.2e-03, ⟨B·n⟩=8.4e-03, C-C-Sep=0.19 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.6], mean squared curvature=[0.9, 3.9]
fun_coils#22 - J=1.3e-03, Jf=1.2e-03, ⟨B·n⟩=8.3e-03, C-C-Sep=0.18 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.0e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.6], mean squared curvature=[0.9, 3.9]
fun_coils#23 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=8.1e-03, C-C-Sep=0.18 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=8.4e-09, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.2], mean squared curvature=[0.9, 3.7]
fun_coils#24 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=8.1e-03, C-C-Sep=0.17 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.9e-09, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 3.6], mean squared curvature=[0.9, 3.5]
fun_coils#25 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=8.1e-03, C-C-Sep=0.17 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 3.3], mean squared curvature=[0.9, 3.4]
fun_coils#26 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=8.0e-03, C-C-Sep=0.16 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 3.3], mean squared curvature=[0.9, 3.4]
fun_coils#27 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=8.1e-03, C-C-Sep=0.17 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.3e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[0.9, 3.6], mean squared curvature=[0.9, 3.5]
fun_coils#28 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=8.0e-03, C-C-Sep=0.17 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.6e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.0], mean squared curvature=[0.9, 3.6]
fun_coils#29 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.17 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.8e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.3], mean squared curvature=[0.9, 3.7]
fun_coils#30 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.17 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.8e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.4], mean squared curvature=[0.9, 3.7]
fun_coils#31 - J=1.3e-03, Jf=1.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.17 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.5e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.2], mean squared curvature=[0.9, 3.7]
fun_coils#32 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.17 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.4e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.2], mean squared curvature=[0.9, 3.7]
fun_coils#33 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.18 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.6e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 4.5], mean squared curvature=[0.9, 3.7]
fun_coils#34 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.18 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.0e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 5.1], mean squared curvature=[0.9, 3.8]
fun_coils#35 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.18 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.0e-08, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 7.0], mean squared curvature=[0.9, 4.1]
fun_coils#36 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.8e-03, C-C-Sep=0.18 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.0e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 10.9], mean squared curvature=[0.9, 4.9]
