index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep
61,47,0.0011753126054017016,0.0010273096880348395,1.0757424473696702e-06,0.0,7.498080579178661e-07,0.00014720593199962794,0.0,4.7177309316362824e-08,10.757424473696702,14.191005190482063,5.955749349908532,0.007475585376342516,0.20414360451501318
62,48,0.001151563859667818,0.0009948530760884697,1.076278153971856e-06,0.0,1.2249438596453132e-07,0.00015654130926248468,0.0,4.69799308993122e-08,10.76278153971856,13.432224056493888,6.220952504580109,0.007288785650939842,0.21120833011593948
63,49,0.0011310352782133778,0.0009808511952557547,1.0759123840188814e-06,0.0,0.0,0.0001501362180446874,0.0,4.7864912935417954e-08,10.759123840188815,12.780897056447836,6.564176369759687,0.007236063226775488,0.21687518664608893
64,50,0.0011133299804579751,0.0009568791074290111,1.0762700872130758e-06,0.0,0.0,0.00015639860743315613,0.0,5.226559580803171e-08,10.76270087213076,12.902324680292685,7.014508137475621,0.0069899241160922545,0.2240429127993456
65,51,0.0010974594741799883,0.0009538728904687053,1.075475750916246e-06,0.0,8.653106545828969e-07,0.00014266540195283486,0.0,5.58711038652935e-08,10.75475750916246,14.257757506531481,7.359896175546222,0.0069439148687093655,0.2290198628648805
66,52,0.00106789958337892,0.0009143155821831533,1.0760199633589004e-06,0.0,1.5085781495258127e-06,0.0001520061794008292,0.0,6.924364541152949e-08,10.760199633589004,14.637247157663836,8.013267828715005,0.006847999310480616,0.23904528351541468
67,53,0.0010588416145694544,0.0009040331640041865,1.0738256043232266e-06,0.0,3.856063910156482e-05,0.00011615305035882305,0.0,9.476110487993821e-08,10.738256043232267,20.287176884129792,10.200285196272269,0.00691751467660977,0.2441044699351521
68,54,0.0010497728187788906,0.0009085388051700037,1.0753360992230558e-06,0.0,8.441940633224871e-07,0.0001403161934741089,0.0,7.362607145573779e-08,10.75336099223056,14.137314507845533,8.128217729849704,0.006801096880178231,0.24055374591685574
69,55,0.004713491189589835,0.0008524379673170005,1.075989371428601e-06,0.0,0.0012981488627997473,0.00015147324796121333,0.002411313623692815,1.1748781905970164e-07,10.75989371428601,66.29441236580828,19.801852660294927,0.007050005569771394,0.25219602937112434
70,56,0.0010176220650292196,0.0008816142897781322,1.0750586061216022e-06,0.0,2.1663299287097002e-07,0.00013570610637160364,0.0,8.503588661277105e-08,10.750586061216023,13.437524461640214,8.8003691387436,0.0067870511010199456,0.2436984083564003
71,57,0.00300538761215305,0.0008129957135419297,1.0748396984194063e-06,0.0,0.0007188249188169752,0.00013212365137617267,0.0013413263556650663,1.169727529059334e-07,10.748396984194063,48.0479705794922,18.03677190832419,0.006833068081750264,0.2501808988797856
72,58,0.0009884228745218736,0.0008556278399884906,1.0743675932972672e-06,0.0,8.141249414866173e-06,0.0001245607007317733,0.0,9.308438674355752e-08,10.743675932972673,16.617191048362425,9.417792578886615,0.006732849368122203,0.24500712959418428
73,59,0.00133265101517906,0.0011849518900081762,1.075762369436152e-06,0.0,7.787470600839368e-08,0.00014754796191073373,0.0,7.328855414201067e-08,10.75762369436152,13.28457154551325,10.189362756386895,0.007787377934675065,0.2512623773424825
74,60,0.0009495742082452857,0.0008554548667693581,1.072297730455281e-06,0.0,0.0,9.403302081631487e-05,0.0,8.632065961270346e-08,10.72297730455281,11.571026936003676,8.366686359307419,0.006670093047487102,0.24576790317841715
75,61,0.0009088891332070385,0.0008092437457007618,1.0726947118946312e-06,0.0,0.0,9.955590917251991e-05,0.0,8.947833375665951e-08,10.726947118946313,12.099677448051999,8.612989056946446,0.0066486526387510595,0.2553612434813776
76,62,0.0008819464506095883,0.0007575962123062296,1.0743483510825217e-06,0.0,0.0,0.00012425717482502963,0.0,9.306347832900227e-08,10.743483510825218,12.220086567854027,8.736791011550311,0.006504609259581425,0.25590726032217587
77,63,0.0008613293065335503,0.000737723297380421,1.0743010360212196e-06,0.0,0.0,0.0001235124035680798,0.0,9.360558504954481e-08,10.743010360212198,12.17228030342906,8.63103948438254,0.006461442990526934,0.25486756706900027
78,64,0.0008489872151288581,0.0007277631324210896,1.074148669684726e-06,0.0,0.0,0.00012112926612672421,0.0,9.481658104430134e-08,10.74148669684726,11.871700620615789,8.544906360675384,0.006376547379127969,0.255359570386416
79,65,0.0008365334536922576,0.0007250853631772762,1.0735071843512101e-06,0.0,0.0,0.000111350518971332,0.0,9.757154364938103e-08,10.735071843512102,11.400152496588202,8.691648513811677,0.006392581663602405,0.2614764743982934
80,66,0.0008243238409850039,0.0007234410628268945,1.0727813497812483e-06,0.0,0.0,0.00010078218334994404,0.0,1.0059480816529454e-07,10.727813497812484,10.659645672762487,8.828533472959728,0.0064031754211543715,0.2686852632591974
81,67,0.0008055897926512772,0.0007108445246521284,1.0723417794270172e-06,0.0,0.0,9.463806611713088e-05,0.0,1.0720188201798463e-07,10.723417794270173,10.270034210144722,9.3098826839997,0.006467617209915009,0.28114451933987994
82,68,0.0007782305609574243,0.0007002251677913379,1.0710651336210728e-06,0.0,0.0,7.788918378975316e-05,0.0,1.1620937633323467e-07,10.710651336210729,12.848103431859464,10.088951663611606,0.006523777927743263,0.28334428493086017
83,69,0.0007777977883973115,0.0006770166656639396,1.0704446690284377e-06,0.0,3.0315981690077377e-05,7.033757863215172e-05,0.0,1.2756241114290684e-07,10.704446690284378,19.01582791128784,11.678876162699089,0.006553232254851826,0.2809032023712247
84,70,0.0007654856789322174,0.0006902028612408001,1.070693612045888e-06,0.0,1.841461486986255e-06,7.332119240211607e-05,0.0,1.201638023149748e-07,10.70693612045888,14.742580697598562,10.504481982261844,0.00652631463595609,0.28244019828935807
85,71,0.0007370514574965708,0.0006603845226822298,1.070957165734056e-06,0.0,0.0,7.65474521199453e-05,0.0,1.194826943956125e-07,10.709571657340561,12.225530588796824,10.826268845260794,0.006504271003406968,0.28091595652527984
86,72,0.0007200331156023207,0.0006667030278667844,1.0688993721564899e-06,0.0,7.1365015995234526e-09,5.320331545442144e-05,0.0,1.196357795153076e-07,10.688993721564898,13.055725821069394,10.20928983452678,0.006420865313600771,0.28383123881717365
87,73,0.0007142885818283535,0.0006593799047602786,1.0690049610873684e-06,0.0,4.929230739055257e-07,5.429807769202594e-05,0.0,1.1767630214346147e-07,10.690049610873684,14.09859615678321,9.242164243723868,0.006365346815689016,0.2873378603920693
88,74,0.0007113060178314566,0.0006458291220270804,1.0700170877906586e-06,0.0,0.0,6.53575975790868e-05,0.0,1.1929822528929784e-07,10.700170877906586,12.369773682185778,9.03489790183558,0.006370238069332109,0.28840964978786493
89,75,0.0007086685894521187,0.0006425057077060568,1.0700770594347583e-06,0.0,0.0,6.604505615992924e-05,0.0,1.1782558613265221e-07,10.700770594347585,12.165774010754184,8.658567160521217,0.006330424358786802,0.28921583425159747
90,76,0.000707470334749969,0.0006438184078478,1.0698566042620792e-06,0.0,0.0,6.35356549037902e-05,0.0,1.1627199837892328e-07,10.698566042620792,11.363017783316684,8.437811663640801,0.006316462636383499,0.2896307215780565
91,77,0.000705741045157087,0.0006431819412367343,1.0697594573689245e-06,0.0,0.0,6.244527646134157e-05,0.0,1.1382745901112225e-07,10.697594573689246,9.629480875834274,8.175023233062701,0.0062943111164333885,0.2903106851523024
92,78,0.000703361776994605,0.0006429906329952036,1.0695622375333968e-06,0.0,0.0,6.026070502730761e-05,0.0,1.1043897209376045e-07,10.695622375333969,7.2831378764162595,7.938342616315548,0.006273059469864974,0.2913150786365544
93,79,0.0006996797762269723,0.0006387380347581271,1.069614524379061e-06,0.0,0.0,6.083608870709695e-05,0.0,1.0565276174819961e-07,10.696145243790612,6.389632100288465,7.803356791610283,0.006241903181682357,0.2932608830020398
94,80,0.0006965654520184798,0.000634674132543823,1.0697006466613133e-06,0.0,0.0,6.178977003011403e-05,0.0,1.0154944454280616e-07,10.697006466613132,6.312494075661891,7.8511609357158925,0.006217642801447325,0.2952620961081633
95,81,0.0006944363227751853,0.0006301203111175259,1.0699168445741986e-06,0.0,0.0,6.421653375684696e-05,0.0,9.94779008123988e-08,10.699168445741986,6.18249074401702,7.974270327192688,0.006204695574702184,0.29635039294349236
96,82,0.0006928828661181272,0.000628333379026031,1.0699375232429165e-06,0.0,0.0,6.445109542665148e-05,0.0,9.839166544483676e-08,10.699375232429166,6.240821899104432,8.058422962895984,0.0062033201100718215,0.2967254178046518
97,83,0.0006916072174238258,0.0006272433516320514,1.0699211866882493e-06,0.0,0.0,6.426575163027531e-05,0.0,9.81141614991832e-08,10.699211866882493,6.375052575325609,8.08405493021591,0.006208442282690894,0.2967209192665004
98,84,0.000690142878840171,0.0006283859335721005,1.0696888893920235e-06,0.0,0.0,6.165913789331573e-05,0.0,9.780737475485218e-08,10.696888893920235,6.54150359873888,8.035792971883078,0.006226973232519058,0.2967499587571143
99,85,0.0006894114858088065,0.000629931055759646,1.0694820135662944e-06,0.0,0.0,5.938320626001579e-05,0.0,9.722378914475514e-08,10.694820135662944,6.6043448200063,7.989216261768685,0.006239792357473889,0.2970849948772131
100,86,0.0006891226297222897,0.0006318489271338036,1.0692776504325525e-06,0.0,0.0,5.717693889382881e-05,0.0,9.676369465727275e-08,10.692776504325526,6.580408170637638,7.9619195742551225,0.006249819915716099,0.29714825321305066
101,87,0.0006889480385037164,0.0006326392159874494,1.0691870820143534e-06,0.0,0.0,5.6212534401841155e-05,0.0,9.628811442579958e-08,10.691870820143535,6.535294018900457,7.944912241497189,0.006253370078014673,0.29731235482924856
102,88,0.0006887183060218091,0.0006333807882924029,1.0690951215852922e-06,0.0,0.0,5.5241700002300416e-05,0.0,9.5817727105706e-08,10.690951215852923,6.456249535944165,7.938026208531806,0.006259516038430857,0.2972479071989991
103,89,0.0006883629556600834,0.0006339720492345397,1.0690047608622196e-06,0.0,0.0,5.429599117622497e-05,0.0,9.491524931872613e-08,10.690047608622196,6.318712244303104,7.95215399539201,0.006267972490224183,0.297170315822096
104,90,0.0006881804051869805,0.0006336457797969228,1.0690185929375024e-06,0.0,0.0,5.444022740588556e-05,0.0,9.439798417209264e-08,10.690185929375025,6.245560056827245,7.9913199428773405,0.006275787781644491,0.296923902566223
105,91,0.0006881094584614973,0.0006335106047962308,1.0690247806567512e-06,0.0,0.0,5.450481279986843e-05,0.0,9.404086539805656e-08,10.690247806567513,6.2006100163686115,7.990536952881087,0.006279265579581573,0.2970062349231595
106,92,0.0006880719871422509,0.0006333526998090227,1.0690363321010465e-06,0.0,0.0,5.4625485461761434e-05,0.0,9.380187146669789e-08,10.690363321010466,6.184932014147889,7.984999896100872,0.006281524632034802,0.297121503440097
107,93,0.000688038942696582,0.000633422388237016,1.0690265329168706e-06,0.0,0.0,5.4523109275547886e-05,0.0,9.344518401811505e-08,10.690265329168707,6.155041508060662,7.961510278907665,0.006284112713189907,0.29735016050602414
108,94,0.0006879983394678285,0.000633577540248706,1.0690078250377325e-06,0.0,0.0,5.4327926870698157e-05,0.0,9.287234842435684e-08,10.690078250377326,6.1016330894961746,7.923982258982732,0.006286830446014726,0.297681932257731
109,95,0.0006879446631081295,0.0006338895849098729,1.0689727670433753e-06,0.0,0.0,5.396310346473349e-05,0.0,9.197473352310378e-08,10.689727670433754,6.0072846996548925,7.864131120758841,0.00628977654795467,0.2981102301938707
110,96,0.0006878894002945964,0.0006341083780775174,1.068946444842572e-06,0.0,0.0,5.368999502845137e-05,0.0,9.102718862767844e-08,10.68946444842572,5.907591406850793,7.804093285168424,0.00629090797541755,0.2984157652559058
111,97,0.0006878277708658199,0.0006342037175236114,1.0689313958735414e-06,0.0,0.0,5.3534164350944115e-05,0.0,8.988899126423313e-08,10.689313958735415,5.8022123561573755,7.738664782980403,0.006290640733107523,0.29860897524909114
112,98,0.0006877868992734806,0.000634186983062978,1.0689291539934375e-06,0.0,0.0,5.351096927255876e-05,0.0,8.894693794369274e-08,10.689291539934375,5.734268568899402,7.692767071169175,0.006289018025913248,0.29865464174556855
113,99,0.0006877613003138552,0.0006341018467687007,1.0689349792139563e-06,0.0,0.0,5.357124896571981e-05,0.0,8.820457943471548e-08,10.689349792139563,5.698726489091581,7.6629571749883905,0.006286914212824264,0.298663297292321
114,100,0.0006877372404633813,0.0006339777788903541,1.0689447168924158e-06,0.0,0.0,5.367209075593835e-05,0.0,8.737081708890899e-08,10.689447168924158,5.6695950105673925,7.6330539505682555,0.006284916632975752,0.2987424976842141
115,101,0.0006877037711599083,0.0006338191888059883,1.0689569110429475e-06,0.0,0.0,5.379850508533011e-05,0.0,8.607726858988205e-08,10.689569110429474,5.624544628294687,7.587499099330076,0.006283053118407916,0.2990043389142967
116,102,0.0006876615501495791,0.0006336927285131289,1.0689652088537036e-06,0.0,0.0,5.3884611855661014e-05,0.0,8.420978078918442e-08,10.689652088537036,5.5521947179067155,7.520974352336104,0.006281534331697053,0.2993933090199257
117,103,0.0006876352692335674,0.0006336779011450408,1.0689642336283492e-06,0.0,0.0,5.387448832595942e-05,0.0,8.28797625672853e-08,10.689642336283493,5.493781534723117,7.47246848385419,0.006280964448391402,0.29942934061180226
118,104,0.0006876249255040103,0.0006336889271375092,1.0689622120231371e-06,0.0,0.0,5.385350566163212e-05,0.0,8.249270486901723e-08,10.689622120231371,5.477844302803168,7.458270524151714,0.006280891167760306,0.2993905641113172
119,105,0.0006876196672989463,0.0006336754125095596,1.0689630122882325e-06,0.0,0.0,5.386181129213603e-05,0.0,8.244349725075048e-08,10.689630122882326,5.470942498045253,7.457384004504786,0.006280688966575638,0.29935006388985735
120,106,0.0006876144270911791,0.0006336416327668733,1.0689657661925274e-06,0.0,0.0,5.389039785436331e-05,0.0,8.239646994249961e-08,10.689657661925274,5.466020810217013,7.458777723982595,0.0062803691535987536,0.29931241138608716
